53,7,93449,351,15,-297,-804,723,533,-711,0,0,40,-737,1
33,7,123424,-85,13,-297,-190,723,-142,-711,0,0,40,289,1
47,-650,144844,-220,9,-297,608,723,-142,-711,0,0,40,289,0
40,-650,114580,-220,9,553,608,-411,-142,268,0,0,40,-479,0
39,-650,115618,-220,9,-297,-938,723,-142,-711,0,0,50,289,0
33,-650,159322,-220,9,553,-596,-715,-142,-711,0,0,40,289,0
55,-650,50164,700,16,-297,-190,723,-142,-711,0,0,60,289,1
39,-650,370032,950,14,-297,-804,723,-142,-711,0,0,45,289,0
22,-650,209034,-958,10,855,-596,-637,-142,268,0,0,35,289,0
27,-650,94090,-958,10,-297,-102,723,-142,-711,0,0,50,289,0
33,-650,105974,-220,9,855,608,-637,-142,-711,0,0,41,289,0
37,-206,32528,-220,9,-297,416,723,-142,-711,0,0,40,-99,1
79,-837,84616,941,7,-297,-190,723,-142,-711,0,0,7,289,0
31,-650,56026,-220,9,-297,608,723,-142,-711,0,0,40,289,0
37,-650,61518,-220,9,-297,454,723,-142,-711,0,0,50,289,0
47,-650,503454,951,8,855,416,-411,-378,268,0,0,40,289,0
19,-650,91893,-958,10,855,-409,-110,-142,-711,0,0,24,289,0
21,-650,214399,-958,10,855,-596,-110,-142,268,0,1721,24,289,0
56,-457,321529,-958,10,-297,-190,723,-142,-711,15024,0,40,289,1
26,-650,111058,-85,13,855,454,-110,-142,-711,0,0,50,289,0
27,-650,255476,-116,3,855,-596,-411,-142,-711,0,0,40,-67,0
55,-650,335276,-958,10,855,416,-110,-142,268,0,0,40,289,0
42,-837,117227,950,14,553,-804,-715,-142,268,0,0,45,289,0
30,-650,197058,81,12,855,-804,-637,-142,268,0,0,40,289,0
56,-650,199713,-806,5,-297,608,723,-142,-711,0,0,40,289,0
35,-206,22494,-85,13,553,-804,-637,-142,268,0,0,50,289,1
19,1,141418,-958,10,855,-376,-110,-142,-711,0,0,15,289,0
56,-837,273084,950,14,-297,-190,723,-378,-711,0,0,40,289,1
68,7,122094,-220,9,-297,608,723,-142,-711,0,0,15,289,0
38,-650,203717,-85,13,-297,500,723,-142,-711,0,0,60,289,0
21,1,163665,-958,10,855,-376,-110,-142,268,0,0,40,289,0
34,-837,161113,-958,10,-297,-938,723,-142,-711,0,0,40,289,0
32,-650,195576,941,7,-297,-102,723,-142,-711,0,0,40,289,0
72,-650,74141,-806,5,-297,-190,-744,533,268,0,0,48,289,1
24,-650,209417,-958,10,-297,454,723,-142,-711,7298,0,60,289,1
19,-650,183532,-958,10,855,-409,-110,-142,-711,0,0,25,289,0
50,-650,102346,-220,9,553,416,-715,-142,268,0,0,36,727,0
28,-650,162298,-220,9,855,608,-110,-142,-711,0,0,40,289,0
72,-650,164724,-85,13,553,454,-715,-142,268,0,0,28,289,0
49,-650,59380,-958,10,-357,416,-637,-142,268,0,0,40,289,0
37,-650,188069,-220,9,-297,-102,723,-142,-711,0,0,40,289,0
29,-650,142712,-85,13,-297,-190,723,-142,-711,0,0,40,289,1
51,-837,146181,-806,5,-297,-938,723,-378,-711,0,0,40,289,0
48,-457,38240,-220,9,-297,500,723,-142,-711,0,0,40,289,1
41,-650,242804,-220,9,-297,-938,723,-142,-711,0,0,40,289,0
27,-650,110648,-85,13,855,-109,-110,-142,-711,0,0,40,289,0
32,-650,223212,365,1,-297,-102,723,-142,-711,0,0,40,-67,0
48,-650,320421,-220,9,-297,454,723,-142,-711,0,0,50,289,0
40,-650,184471,-958,10,553,-102,-637,-142,-711,0,0,40,289,0
30,263,54318,941,7,-297,-938,723,-142,-711,0,0,40,289,0
51,1,165637,950,14,-297,-376,723,-142,-711,0,0,40,289,0
37,-650,135089,-958,10,553,-596,-715,-142,268,0,0,56,289,0
66,-650,236879,365,1,749,-35,-411,-142,268,0,0,40,-834,0
60,-650,101198,-691,11,553,-596,-637,-142,-711,0,0,20,289,0
